github.com/PuerkitoBio/purell,https://github.com/PuerkitoBio/purell/blob/master/LICENSE
github.com/PuerkitoBio/rehttp,https://github.com/PuerkitoBio/rehttp/blob/master/LICENSE
github.com/PuerkitoBio/urlesc,https://github.com/PuerkitoBio/urlesc/blob/master/LICENSE
github.com/asaskevich/govalidator,https://github.com/asaskevich/govalidator/blob/master/LICENSE
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew/blob/master/LICENSE
github.com/go-openapi/analysis,https://github.com/go-openapi/analysis/blob/master/LICENSE
github.com/go-openapi/errors,https://github.com/go-openapi/errors/blob/master/LICENSE
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/master/LICENSE
github.com/go-openapi/jsonreference,https://github.com/go-openapi/jsonreference/blob/master/LICENSE
github.com/go-openapi/loads/fmts,https://github.com/go-openapi/loads/blob/master/LICENSE
github.com/go-openapi/runtime,https://github.com/go-openapi/runtime/blob/master/LICENSE
github.com/go-openapi/runtime/middleware/denco,https://github.com/go-openapi/runtime/blob/master/middleware/denco/LICENSE
github.com/go-openapi/spec,https://github.com/go-openapi/spec/blob/master/LICENSE
github.com/go-openapi/strfmt,https://github.com/go-openapi/strfmt/blob/master/LICENSE
github.com/go-openapi/swag,https://github.com/go-openapi/swag/blob/master/LICENSE
github.com/go-openapi/validate,https://github.com/go-openapi/validate/blob/master/LICENSE
github.com/go-stack/stack,https://github.com/go-stack/stack/blob/master/LICENSE.md
github.com/gorilla/context,https://github.com/gorilla/context/blob/master/LICENSE
github.com/gorilla/mux,https://github.com/gorilla/mux/blob/master/LICENSE
github.com/inconshreveable/log15/ext,https://github.com/inconshreveable/log15/blob/master/LICENSE
github.com/inconshreveable/log15/term,https://github.com/inconshreveable/log15/blob/master/term/LICENSE
github.com/mailru/easyjson,https://github.com/mailru/easyjson/blob/master/LICENSE
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/master/LICENSE
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/master/LICENSE
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/master/LICENSE
github.com/pmezard/go-difflib/difflib,https://github.com/pmezard/go-difflib/blob/master/LICENSE
github.com/stretchr/objx,https://github.com/stretchr/objx/blob/master/LICENSE.md
github.com/stretchr/testify,https://github.com/stretchr/testify/blob/master/LICENSE
golang.org/x/net,https://github.com/golang/go/blob/master/LICENSE
golang.org/x/sys,https://github.com/golang/go/blob/master/LICENSE
golang.org/x/text,https://github.com/golang/go/blob/master/LICENSE
gopkg.in/yaml.v2,https://github.com/go-yaml/yaml/blob/v2/LICENSE
github.com/docker/go-units,https://github.com/docker/go-units/blob/master/LICENSE
golang.org/x/crypto/ssh/terminal,https://github.com/golang/go/blob/master/LICENSE
golang.org/x/sys/unix,https://github.com/golang/go/blob/master/LICENSE
golang.org/x/tools/go,https://github.com/golang/go/blob/master/LICENSE
